Age,Experience,Income in Thousaunds,ZIP Code,Family,CCAvg in thousands,Education,Mortgage,SecuritiesAccount,CDAccount,Online(opted Netbanking),CreditCard,Personal loan acceptance,Personal loan acceptance
35,10,81,90089,3,0.6,2,104,0,0,1,0,0,0
34,9,180,93023,1,8.9,3,0,0,0,0,0,1,1
